          region3_s2  |                root  |CLAS12 Drift Chambers, Sector 2 Region 3  |      109.5884011*cm 189.8126787*cm 459.6913298*cm  |        ordered: zxy 30*deg 25*deg 0*deg  | aa0000   |              G4Trap  |27.191211*cm -0.1742584*rad 1.5707963*rad 200.2751517*cm 8.1431899*cm 213.5310757*cm 0*rad 216.0603933*cm 8.1431899*cm 229.7192916*cm 0*rad  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region3_s3  |                root  |CLAS12 Drift Chambers, Sector 3 Region 3  |     -109.5884011*cm 189.8126787*cm 459.6913298*cm  |       ordered: zxy -30*deg 25*deg 0*deg  | aa0000   |              G4Trap  |27.191211*cm -0.1742584*rad 1.5707963*rad 200.2751517*cm 8.1431899*cm 213.5310757*cm 0*rad 216.0603933*cm 8.1431899*cm 229.7192916*cm 0*rad  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region3_s4  |                root  |CLAS12 Drift Chambers, Sector 4 Region 3  |               -219.1768023*cm 0*cm 459.6913298*cm  |       ordered: zxy -90*deg 25*deg 0*deg  | aa0000   |              G4Trap  |27.191211*cm -0.1742584*rad 1.5707963*rad 200.2751517*cm 8.1431899*cm 213.5310757*cm 0*rad 216.0603933*cm 8.1431899*cm 229.7192916*cm 0*rad  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region3_s5  |                root  |CLAS12 Drift Chambers, Sector 5 Region 3  |    -109.5884011*cm -189.8126787*cm 459.6913298*cm  |      ordered: zxy -150*deg 25*deg 0*deg  | aa0000   |              G4Trap  |27.191211*cm -0.1742584*rad 1.5707963*rad 200.2751517*cm 8.1431899*cm 213.5310757*cm 0*rad 216.0603933*cm 8.1431899*cm 229.7192916*cm 0*rad  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region3_s6  |                root  |CLAS12 Drift Chambers, Sector 6 Region 3  |     109.5884011*cm -189.8126787*cm 459.6913298*cm  |      ordered: zxy -210*deg 25*deg 0*deg  | aa0000   |              G4Trap  |27.191211*cm -0.1742584*rad 1.5707963*rad 200.2751517*cm 8.1431899*cm 213.5310757*cm 0*rad 216.0603933*cm 8.1431899*cm 229.7192916*cm 0*rad  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
       regionGas1_s1  |          region1_s1  |CLAS12 Drift Chambers Gas, Sector 1 Region 1  |                           0*cm 2.3232334*cm -0*cm  |                                   0 0 0  | 99ffff   |              G4Trap  |13.98383*cm -0.1742584*rad 1.5707963*rad 80.4011111*cm 5.5747812*cm 88.028416*cm 0*rad 88.5191068*cm 5.5747812*cm 96.3536525*cm 0*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
       regionGas1_s2  |          region1_s2  |CLAS12 Drift Chambers Gas, Sector 2 Region 1  |                           0*cm 2.3232334*cm -0*cm  |                                   0 0 0  | 99ffff   |              G4Trap  |13.98383*cm -0.1742584*rad 1.5707963*rad 80.4011111*cm 5.5747812*cm 88.028416*cm 0*rad 88.5191068*cm 5.5747812*cm 96.3536525*cm 0*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
       regionGas1_s3  |          region1_s3  |CLAS12 Drift Chambers Gas, Sector 3 Region 1  |                           0*cm 2.3232334*cm -0*cm  |                                   0 0 0  | 99ffff   |              G4Trap  |13.98383*cm -0.1742584*rad 1.5707963*rad 80.4011111*cm 5.5747812*cm 88.028416*cm 0*rad 88.5191068*cm 5.5747812*cm 96.3536525*cm 0*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
       regionGas1_s4  |          region1_s4  |CLAS12 Drift Chambers Gas, Sector 4 Region 1  |                           0*cm 2.3232334*cm -0*cm  |                                   0 0 0  | 99ffff   |              G4Trap  |13.98383*cm -0.1742584*rad 1.5707963*rad 80.4011111*cm 5.5747812*cm 88.028416*cm 0*rad 88.5191068*cm 5.5747812*cm 96.3536525*cm 0*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
       regionGas1_s5  |          region1_s5  |CLAS12 Drift Chambers Gas, Sector 5 Region 1  |                           0*cm 2.3232334*cm -0*cm  |                                   0 0 0  | 99ffff   |              G4Trap  |13.98383*cm -0.1742584*rad 1.5707963*rad 80.4011111*cm 5.5747812*cm 88.028416*cm 0*rad 88.5191068*cm 5.5747812*cm 96.3536525*cm 0*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
